epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.677,1.71678,3.47986,1.98116,0.00611,0.58384,0.04491,0.02143,1.6414,3.73464,2.12975,1.429e-05,1.429e-05,1.429e-05
2,18.977,1.82728,3.48617,2.04408,0.00624,0.58384,0.0523,0.02512,1.60294,3.71991,2.09591,3.86259e-05,3.86259e-05,3.86259e-05
3,27.761,1.75829,3.49681,1.9741,0.00711,0.70606,0.06605,0.0316,1.58702,3.68836,2.06366,5.73029e-05,5.73029e-05,5.73029e-05
4,36.611,1.66756,3.46539,1.91574,0.00747,0.70606,0.08941,0.04133,1.57879,3.70473,2.01888,7.03211e-05,7.03211e-05,7.03211e-05
5,45.012,1.71179,3.3387,1.98069,0.00681,0.6202,0.12256,0.05934,1.56104,3.68821,2.02297,7.76804e-05,7.76804e-05,7.76804e-05
6,53.741,1.53197,3.22231,1.82255,0.00796,0.70606,0.1956,0.1062,1.5799,3.6618,2.04542,7.93809e-05,7.93809e-05,7.93809e-05
7,62.28,1.53569,3.14779,1.78881,0.00807,0.70606,0.26634,0.12487,1.55787,3.64705,1.9942,7.54226e-05,7.54226e-05,7.54226e-05
8,70.82,1.53281,3.06177,1.77268,0.0085,0.76162,0.28134,0.13706,1.54945,3.62274,1.96302,6.58055e-05,6.58055e-05,6.58055e-05
9,79.384,1.50194,2.97198,1.75135,0.00859,0.76162,0.28183,0.14421,1.54315,3.61406,1.96247,5.05294e-05,5.05294e-05,5.05294e-05
10,88.032,1.46077,2.98325,1.68983,0.00904,0.81717,0.29103,0.13823,1.55593,3.59238,1.96482,2.95946e-05,2.95946e-05,2.95946e-05
